Feedback ID,Customer ID,Customer Name,Customer Segment,Industry,Subscription Plan,Feedback Date,Feedback Source,Feedback Type,Feedback Text,Product Area,Feature Requested,Pain Point Category,Severity Level,Sentiment Score,Customer Satisfaction Score,NPS Score,Frequency of Similar Requests,Revenue Impact,Retention Risk,Business Value Score,Customer Impact Score,Strategic Alignment Score,Development Effort,Priority Score,Roadmap Decision,Roadmap Quarter,Feedback Status
FB021,CUST1001,Customer 22,Mid-Market,FinTech,Business,2026-06-13,Product Review,Bug,We are seeing repeated issues here and it is affecting daily workflows.,Security,Audit Logs,Reliability,Low,0.14,3,20,33,Medium,High,1,1,4,High,7.82,Roadmap / Prioritize,Q4,New
FB022,CUST1036,Customer 10,Mid-Market,Education,Business,2026-02-02,Customer Interview,Usability Issue,New users are struggling to understand the first setup steps. Please improve this before the next release.,UI/UX,Onboarding Improvements,Usability,Medium,0.58,4,53,8,Low,High,2,5,1,High,6.46,Roadmap / Evaluate,Q2,Planned
FB023,CUST1010,Customer 60,Mid-Market,FinTech,Business,2026-08-10,NPS Survey,Complaint,Billing notifications should arrive before invoices become overdue. The current experience is causing avoidable friction.,Billing,Billing Alerts,Customer Dissatisfaction,Low,0.55,4,43,14,Medium,Medium,3,5,4,High,9.78,Roadmap / Prioritize,Q4,Closed
FB024,CUST1025,Customer 56,Free,SaaS,Free,2026-08-08,Customer Success,Product Enhancement,International users need localized navigation and help content. This would make the workflow more efficient for our team.,Localization,Multi-language Support,Workflow Improvement,Critical,-0.02,3,17,22,High,Low,2,3,2,Medium,7.96,Roadmap / Prioritize,Q1,New
FB025,CUST1023,Customer 42,Mid-Market,Retail,Business,2026-04-13,Product Usage,Product Enhancement,Our team wants product alerts delivered directly into Slack. This would make the workflow more efficient for our team.,Integrations,Slack Integration,Workflow Improvement,High,-0.88,2,-61,15,Low,Medium,4,3,3,High,6.64,Roadmap / Prioritize,Q3,Analyzed
FB026,CUST1047,Customer 51,Free,Healthcare,Free,2026-04-22,Community Forum,Performance Issue,We need deeper analytics and trend visibility for product reviews. The current experience is causing avoidable friction.,Analytics,Advanced Analytics Dashboard,Performance,Low,0.37,4,2,17,Low,High,3,1,1,Medium,5.9,Roadmap / Evaluate,Q3,Analyzed
FB027,CUST1059,Customer 22,Free,Retail,Free,2026-03-22,Product Usage,Feature Request,International users need localized navigation and help content. We would consider broader adoption if this were improved.,Localization,Multi-language Support,Missing Capability,High,-0.21,3,3,3,High,Low,5,2,3,Medium,8.11,Roadmap / Prioritize,Q1,Closed
FB028,CUST1044,Customer 48,Startup,FinTech,Starter,2026-06-07,Community Forum,Integration Request,The mobile experience needs a cleaner workflow and faster loading. We would consider broader adoption if this were improved.,UI/UX,Mobile App Improvements,Integration Gap,High,-0.3,2,-27,27,Low,Medium,5,2,2,Medium,8.24,Roadmap / Prioritize,Q4,Accepted
FB029,CUST1033,Customer 31,Mid-Market,Professional Services,Business,2026-02-13,Product Usage,Performance Issue,We need deeper analytics and trend visibility for product reviews. Please improve this before the next release.,Analytics,Advanced Analytics Dashboard,Performance,High,0.11,3,1,28,High,Medium,3,4,4,Medium,10.0,Roadmap / Prioritize,Q3,Under Review
FB030,CUST1040,Customer 55,Enterprise,SaaS,Enterprise,2026-04-27,Sales Feedback,Performance Issue,We are seeing repeated issues here and it is affecting daily workflows.,Security,Audit Logs,Performance,High,-0.01,3,11,16,Medium,Low,2,2,1,Low,6.43,Roadmap / Evaluate,Q4,Accepted
FB031,CUST1034,Customer 30,Startup,SaaS,Starter,2026-05-23,Support Ticket,Performance Issue,We are seeing repeated issues here and it is affecting daily workflows.,UI/UX,Onboarding Improvements,Performance,Medium,0.0,3,-4,26,Low,Medium,1,1,4,Low,6.77,Roadmap / Prioritize,Q2,Closed
FB032,CUST1029,Customer 58,Free,FinTech,Free,2026-07-10,Customer Success,Feature Request,Our IT team needs SSO and automated user provisioning. This would make the workflow more efficient for our team.,Security,SSO & SCIM,Missing Capability,Medium,-0.21,3,-12,21,Very High,High,5,5,4,High,10.0,Roadmap / Prioritize,Q3,Planned
FB033,CUST1021,Customer 58,SMB,Retail,Pro,2026-01-21,NPS Survey,Customer Experience Issue,The AI summaries save our team time when reviewing customer feedback. We would consider broader adoption if this were improved.,AI,AI Summary Assistant,Experience,High,-0.15,3,-27,34,Medium,Low,4,1,3,Low,9.53,Roadmap / Prioritize,Q1,Analyzed
FB034,CUST1058,Customer 50,Enterprise,Retail,Enterprise,2026-06-28,Customer Interview,Bug,We are seeing repeated issues here and it is affecting daily workflows.,Security,SSO & SCIM,Reliability,High,-0.27,2,-28,27,Medium,Medium,4,1,2,High,7.45,Roadmap / Prioritize,Q3,Accepted
FB035,CUST1032,Customer 15,Startup,Healthcare,Starter,2026-04-22,Customer Success,Customer Experience Issue,We need configurable reports for different stakeholder groups. This would make the workflow more efficient for our team.,Analytics,Custom Reports,Experience,Critical,-0.5,2,-12,23,Low,Low,4,5,5,Medium,9.97,Roadmap / Prioritize,Q4,Under Review
FB036,CUST1002,Customer 06,Enterprise,Professional Services,Enterprise,2026-04-20,NPS Survey,Bug,We need a complete audit trail for compliance reviews. Please improve this before the next release.,Security,Audit Logs,Reliability,Medium,0.25,4,17,30,High,High,5,1,4,Medium,10.0,Roadmap / Prioritize,Q4,Closed
FB037,CUST1031,Customer 02,Startup,Professional Services,Starter,2026-05-19,Customer Interview,Feature Request,The mobile experience needs a cleaner workflow and faster loading. This would make the workflow more efficient for our team.,UI/UX,Mobile App Improvements,Missing Capability,High,-0.69,2,-47,30,Low,Medium,4,3,4,Low,10.0,Roadmap / Prioritize,Q4,New
FB038,CUST1031,Customer 43,Free,SaaS,Free,2026-05-25,Support Ticket,Bug,We need a complete audit trail for compliance reviews. The current experience is causing avoidable friction.,Security,Audit Logs,Reliability,Medium,0.89,4,66,3,High,High,2,1,5,Low,9.13,Roadmap / Prioritize,Q4,Under Review
FB039,CUST1037,Customer 44,SMB,Education,Pro,2026-04-12,Support Ticket,Feature Request,Our integrations hit API limits during peak processing windows.,API,API Rate Limit Increase,Missing Capability,Medium,0.19,3,27,8,High,Low,3,1,5,Low,8.53,Roadmap / Prioritize,Q3,Analyzed
FB040,CUST1043,Customer 24,Enterprise,SaaS,Enterprise,2026-05-10,Product Usage,Integration Request,We need a complete audit trail for compliance reviews.,Security,Audit Logs,Integration Gap,High,0.06,3,-7,20,High,Medium,1,5,1,Low,9.46,Roadmap / Prioritize,Q4,Accepted
FB041,CUST1018,Customer 40,Mid-Market,Retail,Business,2026-07-18,Customer Success,Product Enhancement,The AI summaries save our team time when reviewing customer feedback. This would make the workflow more efficient for our team.,AI,AI Summary Assistant,Workflow Improvement,High,0.24,3,24,24,Medium,High,2,4,2,Medium,9.59,Roadmap / Prioritize,Q1,Closed
FB042,CUST1025,Customer 22,SMB,SaaS,Pro,2026-05-07,App Store Review,Product Enhancement,We need more granular permissions for different teams. This would make the workflow more efficient for our team.,Security,Role-Based Permissions,Workflow Improvement,High,0.46,3,26,16,High,Low,4,2,4,Medium,9.36,Roadmap / Prioritize,Q3,Closed
FB043,CUST1036,Customer 49,Mid-Market,FinTech,Business,2026-06-26,Customer Success,Feature Request,Billing notifications should arrive before invoices become overdue. This would make the workflow more efficient for our team.,Billing,Billing Alerts,Missing Capability,Medium,0.23,3,-3,18,Medium,Medium,2,1,2,Medium,6.41,Roadmap / Evaluate,Q4,Accepted
FB044,CUST1028,Customer 48,Startup,Retail,Starter,2026-03-26,App Store Review,Usability Issue,Billing notifications should arrive before invoices become overdue. The current experience is causing avoidable friction.,Billing,Billing Alerts,Usability,High,-0.13,2,-3,15,Medium,Low,5,3,4,Medium,9.65,Roadmap / Prioritize,Q4,Analyzed
FB045,CUST1047,Customer 38,Startup,Retail,Starter,2026-06-02,Product Review,Feature Request,The mobile experience needs a cleaner workflow and faster loading.,UI/UX,Mobile App Improvements,Missing Capability,High,-0.41,3,-38,13,Low,Medium,2,2,2,Medium,5.01,Roadmap / Evaluate,Q4,Analyzed
FB046,CUST1009,Customer 41,Free,Education,Free,2026-01-27,Customer Interview,Product Enhancement,The mobile experience needs a cleaner workflow and faster loading.,UI/UX,Mobile App Improvements,Workflow Improvement,Medium,0.11,4,-7,20,Low,Medium,3,1,1,Medium,5.35,Roadmap / Evaluate,Q4,Closed
FB047,CUST1041,Customer 44,SMB,SaaS,Pro,2026-02-08,NPS Survey,Usability Issue,Our team wants product alerts delivered directly into Slack. Please improve this before the next release.,Integrations,Slack Integration,Usability,High,-0.09,4,-25,4,Low,High,1,1,4,Medium,4.76,Roadmap / Evaluate,Q3,Planned
FB048,CUST1020,Customer 56,Startup,Retail,Starter,2026-04-20,Product Review,Complaint,A dark mode would make long working sessions easier on the eyes. The current experience is causing avoidable friction.,UI/UX,Dark Mode,Customer Dissatisfaction,High,-0.1,3,3,27,Medium,Medium,2,5,4,Medium,10.0,Roadmap / Prioritize,Q2,Accepted
FB049,CUST1011,Customer 01,SMB,Education,Pro,2026-04-26,Community Forum,Feature Request,New users are struggling to understand the first setup steps.,UI/UX,Onboarding Improvements,Missing Capability,Low,0.1,3,14,14,Medium,Low,1,2,2,Low,6.15,Roadmap / Evaluate,Q2,New
FB050,CUST1015,Customer 42,SMB,FinTech,Pro,2026-03-10,NPS Survey,Feature Request,The mobile experience needs a cleaner workflow and faster loading. We would consider broader adoption if this were improved.,UI/UX,Mobile App Improvements,Missing Capability,High,-0.07,3,-1,30,Low,Low,3,5,2,Medium,8.6,Roadmap / Prioritize,Q4,Planned
FB051,CUST1029,Customer 06,Enterprise,Retail,Enterprise,2026-01-11,Sales Feedback,Feature Request,The mobile experience needs a cleaner workflow and faster loading. We would consider broader adoption if this were improved.,UI/UX,Mobile App Improvements,Missing Capability,Medium,0.01,3,4,19,Medium,Low,3,4,3,Medium,8.89,Roadmap / Prioritize,Q4,Accepted
FB052,CUST1031,Customer 34,Startup,Professional Services,Starter,2026-04-24,Product Review,Pricing Feedback,We need deeper analytics and trend visibility for product reviews.,Analytics,Advanced Analytics Dashboard,Pricing,High,-0.35,3,-19,2,Very High,Medium,3,5,1,Medium,8.96,Roadmap / Prioritize,Q3,Under Review
FB053,CUST1019,Customer 43,Mid-Market,Education,Business,2026-07-28,Social Media,Performance Issue,We need a complete audit trail for compliance reviews. Please improve this before the next release.,Security,Audit Logs,Performance,Low,0.12,4,-4,31,Low,Low,1,2,3,Medium,5.94,Roadmap / Evaluate,Q4,Accepted
FB054,CUST1034,Customer 24,Enterprise,Retail,Enterprise,2026-07-13,Customer Success,Feature Request,The mobile experience needs a cleaner workflow and faster loading. This would make the workflow more efficient for our team.,UI/UX,Mobile App Improvements,Missing Capability,High,0.07,4,-5,26,High,High,1,5,4,Medium,10.0,Roadmap / Prioritize,Q4,Under Review
FB055,CUST1011,Customer 20,SMB,Retail,Pro,2026-01-04,Social Media,Customer Experience Issue,Exporting large datasets one by one is slowing our reporting process. This would make the workflow more efficient for our team.,Data Export,Bulk Export,Experience,Medium,0.47,4,43,19,Medium,Medium,1,1,5,Medium,7.45,Roadmap / Prioritize,Q2,Closed
FB056,CUST1031,Customer 16,SMB,Education,Pro,2026-05-22,NPS Survey,Feature Request,The AI summaries save our team time when reviewing customer feedback.,AI,AI Summary Assistant,Missing Capability,Medium,0.73,4,42,8,Medium,Low,3,5,3,Medium,9.0,Roadmap / Prioritize,Q1,Accepted
FB057,CUST1019,Customer 47,SMB,Healthcare,Pro,2026-08-03,Community Forum,Complaint,We are seeing repeated issues here and it is affecting daily workflows.,Search,Faster Search,Customer Dissatisfaction,Low,0.2,3,13,5,Low,Medium,4,3,5,Low,8.95,Roadmap / Prioritize,Q2,New
FB058,CUST1045,Customer 16,SMB,Retail,Pro,2026-04-09,Support Ticket,Integration Request,The AI summaries save our team time when reviewing customer feedback.,AI,AI Summary Assistant,Integration Gap,Medium,0.3,4,31,31,Low,Medium,5,4,4,High,10.0,Roadmap / Prioritize,Q1,Under Review
FB059,CUST1022,Customer 56,Startup,SaaS,Starter,2026-08-12,Customer Success,Usability Issue,We are seeing repeated issues here and it is affecting daily workflows.,API,API Rate Limit Increase,Usability,Medium,0.2,4,11,25,Medium,Medium,2,4,1,Low,9.29,Roadmap / Prioritize,Q3,Planned
FB060,CUST1006,Customer 55,Enterprise,Healthcare,Enterprise,2026-08-07,Product Usage,Complaint,We are seeing repeated issues here and it is affecting daily workflows.,Analytics,Advanced Analytics Dashboard,Customer Dissatisfaction,High,0.61,4,33,10,Low,Medium,3,3,5,Medium,8.11,Roadmap / Prioritize,Q3,Closed
FB061,CUST1006,Customer 28,Startup,SaaS,Starter,2026-07-14,Product Usage,Bug,We are seeing repeated issues here and it is affecting daily workflows.,API,API Rate Limit Increase,Reliability,Medium,-0.1,3,-10,32,High,Low,1,2,3,High,7.12,Roadmap / Prioritize,Q3,Closed
FB062,CUST1034,Customer 27,Startup,Retail,Starter,2026-06-24,NPS Survey,Feature Request,Our IT team needs SSO and automated user provisioning. We would consider broader adoption if this were improved.,Security,SSO & SCIM,Missing Capability,High,0.05,3,3,2,Low,Medium,3,3,3,Medium,6.16,Roadmap / Evaluate,Q3,Under Review
FB063,CUST1001,Customer 58,Mid-Market,Education,Business,2026-03-15,Product Usage,Feature Request,The AI summaries save our team time when reviewing customer feedback. This would make the workflow more efficient for our team.,AI,AI Summary Assistant,Missing Capability,Medium,-0.04,2,-8,16,Medium,Medium,2,4,3,Medium,8.61,Roadmap / Prioritize,Q1,Closed
FB064,CUST1016,Customer 25,SMB,Retail,Pro,2026-04-02,Community Forum,Feature Request,Our integrations hit API limits during peak processing windows. We would consider broader adoption if this were improved.,API,API Rate Limit Increase,Missing Capability,High,0.09,3,-9,28,Medium,Low,3,2,4,High,8.04,Roadmap / Prioritize,Q3,New
FB065,CUST1050,Customer 52,Mid-Market,FinTech,Business,2026-06-05,App Store Review,Integration Request,We need deeper analytics and trend visibility for product reviews. We would consider broader adoption if this were improved.,Analytics,Advanced Analytics Dashboard,Integration Gap,Medium,0.25,4,7,1,Medium,Medium,1,5,4,High,7.21,Roadmap / Prioritize,Q3,Analyzed
FB066,CUST1047,Customer 09,Mid-Market,SaaS,Business,2026-03-17,App Store Review,Feature Request,The mobile experience needs a cleaner workflow and faster loading. We would consider broader adoption if this were improved.,UI/UX,Mobile App Improvements,Missing Capability,Medium,0.24,3,3,9,Medium,High,1,3,4,Low,8.8,Roadmap / Prioritize,Q4,Analyzed
FB067,CUST1048,Customer 56,Startup,Healthcare,Starter,2026-07-25,Survey,Feature Request,Our IT team needs SSO and automated user provisioning. We would consider broader adoption if this were improved.,Security,SSO & SCIM,Missing Capability,Low,0.55,4,52,24,Medium,High,2,3,4,High,9.28,Roadmap / Prioritize,Q3,Analyzed
FB068,CUST1008,Customer 30,SMB,Healthcare,Pro,2026-06-22,Product Usage,Feature Request,Billing notifications should arrive before invoices become overdue.,Billing,Billing Alerts,Missing Capability,Low,0.75,4,41,26,Very High,High,3,1,4,Low,10.0,Roadmap / Prioritize,Q4,Planned
FB069,CUST1041,Customer 53,Mid-Market,Education,Business,2026-06-29,Product Review,Bug,We need a complete audit trail for compliance reviews. Please improve this before the next release.,Security,Audit Logs,Reliability,High,-0.01,3,6,15,Medium,Medium,5,3,5,Low,10.0,Roadmap / Prioritize,Q4,New
FB070,CUST1048,Customer 45,Startup,Retail,Starter,2026-04-18,Community Forum,Feature Request,We need deeper analytics and trend visibility for product reviews.,Analytics,Advanced Analytics Dashboard,Missing Capability,High,0.93,5,79,32,Low,Low,5,2,4,Medium,9.6,Roadmap / Prioritize,Q3,Closed
FB071,CUST1016,Customer 55,Startup,Healthcare,Starter,2026-01-26,Product Usage,Feature Request,We need configurable reports for different stakeholder groups. We would consider broader adoption if this were improved.,Analytics,Custom Reports,Missing Capability,High,0.12,4,4,32,Medium,High,3,1,3,Low,10.0,Roadmap / Prioritize,Q4,Accepted
FB072,CUST1002,Customer 04,Mid-Market,Healthcare,Business,2026-03-04,NPS Survey,Complaint,We need a complete audit trail for compliance reviews. Please improve this before the next release.,Security,Audit Logs,Customer Dissatisfaction,High,0.06,3,2,18,Low,Low,4,1,2,Medium,5.66,Roadmap / Evaluate,Q4,Planned
FB073,CUST1009,Customer 35,Startup,Healthcare,Starter,2026-07-24,NPS Survey,Feature Request,The AI summaries save our team time when reviewing customer feedback. We would consider broader adoption if this were improved.,AI,AI Summary Assistant,Missing Capability,High,-0.29,3,8,14,High,Low,2,5,1,Low,8.79,Roadmap / Prioritize,Q1,Under Review
FB074,CUST1008,Customer 48,Enterprise,SaaS,Enterprise,2026-05-02,Customer Success,Product Enhancement,Our IT team needs SSO and automated user provisioning.,Security,SSO & SCIM,Workflow Improvement,Medium,-0.32,3,-42,16,Medium,Low,3,1,2,Medium,5.97,Roadmap / Evaluate,Q3,Planned
FB075,CUST1004,Customer 31,Startup,Education,Starter,2026-04-20,Product Usage,Performance Issue,A dark mode would make long working sessions easier on the eyes. Please improve this before the next release.,UI/UX,Dark Mode,Performance,Medium,0.07,4,6,3,High,High,5,3,4,Medium,10.0,Roadmap / Prioritize,Q2,New
FB076,CUST1025,Customer 39,Enterprise,Retail,Enterprise,2026-03-17,Customer Success,Integration Request,Our team wants product alerts delivered directly into Slack.,Integrations,Slack Integration,Integration Gap,Low,0.15,3,19,21,Medium,Low,3,5,5,Medium,10.0,Roadmap / Prioritize,Q3,Analyzed
FB077,CUST1007,Customer 21,SMB,Education,Pro,2026-03-22,Product Usage,Usability Issue,We are seeing repeated issues here and it is affecting daily workflows.,Billing,Billing Alerts,Usability,High,-0.35,3,-24,14,Medium,High,4,3,4,Medium,10.0,Roadmap / Prioritize,Q4,Closed
FB078,CUST1036,Customer 22,Mid-Market,Professional Services,Business,2026-02-01,Sales Feedback,Positive Feedback,The recent improvements have made our team's workflow noticeably better.,Security,Audit Logs,Strength,High,1.0,5,46,6,Low,Low,3,2,5,Low,7.43,Roadmap / Prioritize,Q4,Planned
FB079,CUST1043,Customer 31,Mid-Market,FinTech,Business,2026-08-05,Survey,Integration Request,Billing notifications should arrive before invoices become overdue. This would make the workflow more efficient for our team.,Billing,Billing Alerts,Integration Gap,Low,0.5,4,45,4,Very High,Medium,3,1,5,Medium,8.88,Roadmap / Prioritize,Q4,Under Review
FB080,CUST1054,Customer 45,Mid-Market,Healthcare,Business,2026-01-08,NPS Survey,Performance Issue,A dark mode would make long working sessions easier on the eyes. Please improve this before the next release.,UI/UX,Dark Mode,Performance,Medium,-0.02,3,5,28,High,High,5,5,5,Low,10.0,Roadmap / Prioritize,Q2,Closed
FB081,CUST1006,Customer 48,Mid-Market,Retail,Business,2026-02-25,Sales Feedback,Customer Experience Issue,International users need localized navigation and help content. This would make the workflow more efficient for our team.,Localization,Multi-language Support,Experience,Medium,0.44,3,27,12,High,Medium,4,1,2,Medium,8.02,Roadmap / Prioritize,Q1,New
FB082,CUST1028,Customer 32,SMB,Retail,Pro,2026-04-24,Sales Feedback,Bug,Our integrations hit API limits during peak processing windows. Please improve this before the next release.,API,API Rate Limit Increase,Reliability,Medium,0.07,3,26,6,High,Low,5,1,1,Low,7.63,Roadmap / Prioritize,Q3,Closed
FB083,CUST1004,Customer 01,Mid-Market,FinTech,Business,2026-03-19,Support Ticket,Customer Experience Issue,A dark mode would make long working sessions easier on the eyes. This would make the workflow more efficient for our team.,UI/UX,Dark Mode,Experience,Medium,0.31,3,33,19,Medium,Medium,5,3,1,Low,10.0,Roadmap / Prioritize,Q2,Planned
FB084,CUST1052,Customer 23,Startup,SaaS,Starter,2026-04-12,Customer Interview,Customer Experience Issue,The mobile experience needs a cleaner workflow and faster loading. This would make the workflow more efficient for our team.,UI/UX,Mobile App Improvements,Experience,High,0.44,4,13,32,High,Low,4,5,2,Medium,10.0,Roadmap / Prioritize,Q4,Closed
FB085,CUST1052,Customer 40,SMB,Education,Pro,2026-08-01,App Store Review,Usability Issue,A dark mode would make long working sessions easier on the eyes. Please improve this before the next release.,UI/UX,Dark Mode,Usability,Medium,0.06,4,-4,26,High,Low,1,4,1,High,7.03,Roadmap / Prioritize,Q2,Under Review
FB086,CUST1033,Customer 41,Enterprise,SaaS,Enterprise,2026-05-16,Social Media,Product Enhancement,Exporting large datasets one by one is slowing our reporting process. This would make the workflow more efficient for our team.,Data Export,Bulk Export,Workflow Improvement,Medium,0.32,4,12,34,Low,High,3,2,3,Medium,8.96,Roadmap / Prioritize,Q2,New
FB087,CUST1005,Customer 12,Mid-Market,Professional Services,Business,2026-05-07,Customer Success,Customer Experience Issue,Our integrations hit API limits during peak processing windows. We would consider broader adoption if this were improved.,API,API Rate Limit Increase,Experience,Low,0.43,2,18,10,Low,Low,2,2,5,Low,6.82,Roadmap / Prioritize,Q3,Closed
FB088,CUST1020,Customer 51,Startup,Healthcare,Starter,2026-06-01,Customer Interview,Customer Experience Issue,Our team wants product alerts delivered directly into Slack. We would consider broader adoption if this were improved.,Integrations,Slack Integration,Experience,Low,0.38,3,46,21,High,Medium,2,4,1,Medium,8.91,Roadmap / Prioritize,Q3,Closed
FB089,CUST1038,Customer 36,Mid-Market,Professional Services,Business,2026-01-11,Customer Success,Feature Request,Our team wants product alerts delivered directly into Slack. This would make the workflow more efficient for our team.,Integrations,Slack Integration,Missing Capability,Critical,-0.85,1,-58,24,High,Low,1,5,5,Medium,9.87,Roadmap / Prioritize,Q3,Accepted
